,ACTUAL_AMT,ACTUAL_%REV,BUDGET_AMT,BUDGET_%REV,VARIANCE_AMT,VARIANCE_%REV
ADMIN COST OF SALES-FOOD,"89,565",11.2,0,0.0,"89,565",11.2
ADMIN EMPLOYEE MEALS CREDIT,0,0.0,"-11,256",-1.4,"11,256",1.4
ADMIN COST OF SALES-LIQUOR,"14,835",1.9,0,0.0,"14,835",1.9
ADMIN COST OF SALES-BEER,"9,095",1.1,0,0.0,"9,095",1.1
ADMIN COST OF SALES-WINE,"5,484",0.7,0,0.0,"5,484",0.7
ADMIN COST OF SALES-OTHER,799,0.1,0,0.0,799,0.1
ADMIN COST OF SALES-OTHER - RETAIL,"1,386",0.2,0,0.0,"1,386",0.2
ADMIN TOTAL FOOD & BEVERAGE ADMIN COST OF SALES,"121,165",15.1,"-11,256",-1.4,"132,422",16.5
ADMIN EXECUTIVE CHEF,"7,564",0.9,"8,404",1.0,-840,-0.1
ADMIN EXECUTIVE SOUS CHEF,"5,591",0.7,"7,308",0.9,"-1,718",-0.2
ADMIN TOTAL FOOD & BEVERAGE ADMIN KITCHEN MANAGEMENT,"13,154",1.6,"15,712",1.9,"-2,558",-0.3
ADMIN F&B DIRECTOR,0,0.0,"9,865",1.2,"-9,865",-1.2
ADMIN DIRECTOR OF RESTAURANTS,0,0.0,"6,212",0.8,"-6,212",-0.8
ADMIN ADMINISTRATIVE SUPPORT,"-1,065",-0.1,"3,040",0.4,"-4,105",-0.5
ADMIN TOTAL FOOD & BEVERAGE ADMIN SERVICE MANAGEMENT,"-1,065",-0.1,"19,117",2.3,"-20,182",-2.5
ADMIN TOTAL FOOD & BEVERAGE ADMIN MANAGEMENT,"12,090",1.5,"34,829",4.3,"-22,740",-2.8
ADMIN CHIEF STEWARD,"-1,827",-0.2,"4,417",0.5,"-6,244",-0.8
ADMIN KITCHEN-COOK,0,0.0,"17,600",2.2,"-17,600",-2.2
ADMIN KITCHEN-STEWARD,"3,177",0.4,"4,175",0.5,-998,-0.1
ADMIN KITCHEN SUPERVISOR,0,0.0,"2,736",0.3,"-2,736",-0.3
ADMIN TOTAL FOOD & BEVERAGE ADMIN KITCHEN NON-MANAGEMENT,"1,350",0.2,"28,928",3.6,"-27,578",-3.4
ADMIN SOUS CHEF,0,0.0,"4,077",0.5,"-4,077",-0.5
ADMIN TOTAL FOOD & BEVERAGE ADMIN VENUES NON-MANAGEMENT,0,0.0,"4,077",0.5,"-4,077",-0.5
ADMIN TOTAL FOOD & BEVERAGE ADMIN NON-MANAGEMENT,"1,350",0.2,"33,005",4.1,"-31,655",-3.9
ADMIN SUBTOTAL: FOOD & BEVERAGE ADMIN SALARIES & WAGES,"13,440",1.7,"67,834",8.3,"-54,394",-6.7
ADMIN SERVICE CHARGES DISTRIBUTED,0,0.0,"1,875",0.2,"-1,875",-0.2
ADMIN TOTAL FOOD & BEVERAGE ADMIN SERVICE CHARGES,0,0.0,"1,875",0.2,"-1,875",-0.2
ADMIN BONUS/INCENTIVES - FOOD AND BEVERAGE ADMIN,0,0.0,"1,688",0.2,"-1,688",-0.2
ADMIN TOTAL FOOD & BEVERAGE ADMIN BONUS,0,0.0,"1,688",0.2,"-1,688",-0.2
ADMIN CONTRACTED/LEASED & OUTSOURCED LABOR,"41,121",5.1,"29,047",3.6,"12,074",1.6
ADMIN TOTAL FOOD & BEVERAGE CONTRACT LABOR,"41,121",5.1,"29,047",3.6,"12,074",1.6
"ADMIN TOTAL FOOD & BEVERAGE ADMIN SALARIES, WAGES, SC, CONTRACT & BONUS","54,561",6.8,"100,444",12.3,"-45,883",-5.5
ADMIN PAYROLL TAXES,0,0.0,"7,533",0.9,"-7,533",-0.9
ADMIN TOTAL FOOD & BEVERAGE ADMIN PAYROLL TAXES,0,0.0,"7,533",0.9,"-7,533",-0.9
ADMIN SUPPLEMENTAL PAY,0,0.0,643,0.1,-643,-0.1
ADMIN PTO PAY,"-25,938",-3.2,"1,979",0.2,"-27,917",-3.5
ADMIN TOTAL FOOD & BEVERAGE ADMIN SUPPLEMENTAL PAY,"-25,938",-3.2,"2,622",0.3,"-28,560",-3.6
ADMIN WORKERS COMP,770,0.1,763,0.1,7,0.0
ADMIN HEALTH INSURANCE,-274,0.0,"4,841",0.6,"-5,116",-0.6
ADMIN 401K,0,0.0,442,0.1,-442,-0.1
ADMIN EMPLOYEE MEALS,0,0.0,965,0.1,-965,-0.1
ADMIN EMPLOYEE BENEFITS,0,0.0,36,0.0,-36,0.0
ADMIN TOTAL FOOD & BEVERAGE ADMIN BENEFITS,496,0.1,"7,048",0.9,"-6,552",-0.8
ADMIN TOTAL FOOD & BEVERAGE ADMIN TAXES & BENEFITS,"-25,442",-3.2,"17,203",2.1,"-42,645",-5.3
"ADMIN TOTAL FOOD & BEVERAGE ADMIN PAYROLL, TAXES & BENEFITS","29,119",3.6,"117,647",14.5,"-88,528",-10.8
ADMIN CLEANING SUPPLIES,388,0.0,"1,172",0.1,-783,-0.1
ADMIN COMP FOOD & BEVERAGE,549,0.1,"2,000",0.2,"-1,451",-0.2
ADMIN CONTRACT SERVICES,-266,0.0,"10,250",1.3,"-10,516",-1.3
ADMIN DECORATIONS,0,0.0,"1,200",0.1,"-1,200",-0.1
ADMIN DISHWASHING SUPPLIES,"3,296",0.4,"2,343",0.3,953,0.1
ADMIN DUES & SUBSCRIPTIONS,485,0.1,748,0.1,-263,0.0
ADMIN EMP TRAIN & DEVELOP,0,0.0,350,0.0,-350,0.0
ADMIN EQUIPMENT RENTAL,"3,244",0.4,"2,949",0.4,295,0.0
ADMIN KITCHEN FUEL,0,0.0,975,0.1,-975,-0.1
ADMIN LAUNDRY & DRY CLEANING,"1,609",0.2,"4,102",0.5,"-2,493",-0.3
ADMIN LICENSES & PERMITS,320,0.0,484,0.1,-163,0.0
ADMIN MISCELLANEOUS,-32,0.0,750,0.1,-782,-0.1
ADMIN MUSIC & ENTERTAINMENT,"1,887",0.2,"3,500",0.4,"-1,613",-0.2
ADMIN OPERATING SUPPLIES,223,0.0,"1,951",0.2,"-1,727",-0.2
ADMIN PAPER/PLASTICS SUPPLIES,"7,127",0.9,"8,201",1.0,"-1,074",-0.1
ADMIN PRINTING & STATIONERY,0,0.0,"1,500",0.2,"-1,500",-0.2
ADMIN T&E - OTHER,"4,417",0.6,0,0.0,"4,417",0.6
ADMIN UNIFORM CLEANING,0,0.0,300,0.0,-300,0.0
ADMIN UNIFORM REPLACEMENT,0,0.0,"1,200",0.1,"-1,200",-0.1
ADMIN TOTAL FOOD & BEVERAGE ADMIN OTHER EXPENSES,"23,246",2.9,"43,973",5.4,"-20,727",-2.5
ADMIN TOTAL FOOD & BEVERAGE ADMIN EXPENSE,"173,531",21.6,"150,364",18.5,"23,167",3.2
ADMIN TOTAL FOOD & BEVERAGE ADMIN PROFIT,"-173,531",-21.6,"-150,364",-18.5,"-23,167",-3.2
LTC BREAKFAST,"9,917",15.9,"21,995",19.7,"-12,078",-3.8
LTC LUNCH,"11,728",18.8,"23,724",21.3,"-11,996",-2.4
LTC DINNER,"13,844",22.2,"34,281",30.8,"-20,438",-8.5
LTC TOTAL License to Chill  FOOD,"35,488",57.0,"80,000",71.8,"-44,512",-14.8
LTC LIQUOR,"18,256",29.3,"22,638",20.3,"-4,382",9.0
LTC BEER,"5,624",9.0,"5,974",5.4,-350,3.7
LTC WINE,"3,077",4.9,"2,830",2.5,247,2.4
LTC TOTAL License to Chill  BEVERAGE,"26,956",43.3,"31,441",28.2,"-4,485",15.1
LTC ALLOWANCES,-197,-0.3,0,0.0,-197,-0.3
LTC TOTAL License to Chill OTHER,-197,-0.3,0,0.0,-197,-0.3
LTC TOTAL License to Chill  REVENUE,"62,248",100.0,"111,441",100.0,"-49,194",0.0
LTC FOOD,0,0.0,"24,800",31.0,"-24,800",-31.0
LTC LIQUOR,0,0.0,"3,622",16.0,"-3,622",-16.0
LTC BEER,0,0.0,"1,135",19.0,"-1,135",-19.0
LTC WINE,0,0.0,707,25.0,-707,-25.0
LTC TOTAL VENUE 1 COST OF SALES,0,0.0,"30,265",27.2,"-30,265",-27.2
LTC TOTAL VENUE 1 GROSS PROFIT,"62,248",100.0,"81,177",72.8,"-18,929",27.2
LTC MANAGER,"3,626",5.8,"4,396",3.9,-770,1.9
LTC ASSISTANT MANAGER,0,0.0,"3,288",3.0,"-3,288",-3.0
LTC TOTAL VENUE 1 SERVICE MANAGEMENT,"3,626",5.8,"7,684",6.9,"-4,058",-1.1
LTC TOTAL VENUE 1 MANAGEMENT,"3,626",5.8,"7,684",6.9,"-4,058",-1.1
LTC SOUS CHEF,0,0.0,"4,019",3.6,"-4,019",-3.6
LTC COOKS,"-1,846",-3.0,"9,920",8.9,"-11,766",-11.9
LTC STEWARDS,-657,-1.1,"57,862",51.9,"-58,519",-53.0
LTC KITCHEN SUPERVISOR,0,0.0,"2,736",2.5,"-2,736",-2.5
LTC TOTAL VENUE 1 KITCHEN NON-MANAGEMENT,"-2,503",-4.0,"74,537",66.9,"-77,040",-70.9
LTC SERVERS,"2,359",3.8,"3,963",3.6,"-1,604",0.2
LTC BUSSERS,"1,814",2.9,"1,707",1.5,107,1.4
LTC BARTENDERS,"-1,000",-1.6,"3,213",2.9,"-4,213",-4.5
LTC BARBACKS,-560,-0.9,"1,989",1.8,"-2,550",-2.7
LTC HOSTS,"1,497",2.4,"2,725",2.4,"-1,228",0.0
LTC SUPERVISOR,"2,497",4.0,"2,508",2.3,-11,1.8
LTC TOTAL VENUE 1 VENUE NON-MANAGEMENT,"6,607",10.6,"16,106",14.5,"-9,498",-3.8
LTC TOTAL VENUE 1 NON-MANAGEMENT,"4,104",6.6,"90,643",81.3,"-86,538",-74.7
LTC SUBTOTAL: VENUE 1 SALARIES & WAGES,"7,730",12.4,"98,326",88.2,"-90,596",-75.8
LTC CONTRACTED/LEASED & OUTSOURCED LABOR,-697,-1.1,0,0.0,-697,-1.1
LTC TOTAL VENUE 1 CONTRACT LABOR,-697,-1.1,0,0.0,-697,-1.1
"LTC TOTAL VENUE 1 SALARIES, WAGES, SC, CONTRACT & BONUS","7,033",11.3,"98,326",88.2,"-91,293",-76.9
LTC PAYROLL TAXES,0,0.0,"7,374",6.6,"-7,374",-6.6
LTC TOTAL VENUE 1 TAXES,0,0.0,"7,374",6.6,"-7,374",-6.6
LTC SUPPLEMENTAL PAY,0,0.0,551,0.0,-551,0.0
LTC PTO PAY,"-10,588",-17.0,"3,078",2.8,"-13,666",-19.8
LTC TOTAL VENUE 1 SUPPLEMENTAL PAY,"-10,588",-17.0,"3,628",3.3,"-14,217",-20.3
LTC WORKERS COMP,895,1.4,"1,308",1.2,-413,0.3
LTC HEALTH INSURANCE,-68,-0.1,"6,647",6.0,"-6,715",-6.1
LTC 401K,0,0.0,29,0.0,-29,0.0
LTC EMPLOYEE MEALS,0,0.0,"1,891",1.7,"-1,891",-1.7
LTC EMPLOYEE BENEFITS,0,0.0,30,0.0,-30,0.0
LTC TOTAL VENUE 1 BENEFITS,827,1.3,"9,905",8.9,"-9,078",-7.6
LTC TOTAL VENUE 1 PAYROLL RELATED,"-9,761",-15.7,"20,908",18.8,"-30,669",-34.4
LTC TOTAL VENUE 1 LABOR & RELATED,"-2,728",-4.4,"119,234",107.0,"-121,963",-111.4
LTC DUES & SUBSCRIPTIONS,0,0.0,0,0.0,0,0.0
LTC TOTAL License to Chill  EXPENSE,"-2,728",-4.4,"149,499",134.2,"-152,227",-138.5
LTC TOTAL License to Chill  PROFIT,"64,976",104.4,"-38,057",-34.2,"103,033",138.5
LS BREAKFAST,0,0.0,0,0.0,0,0.0
LS LUNCH,"28,297",25.1,"28,154",24.3,143,0.8
LS DINNER,"37,334",33.2,"45,934",39.7,"-8,601",-6.5
LS BRUNCH,-11,0.0,0,0.0,-11,0.0
LS TOTAL Landshark FOOD,"65,620",58.3,"74,088",64.0,"-8,468",-5.7
LS LIQUOR,"31,505",28.0,"28,732",24.8,"2,773",3.2
LS BEER,"13,241",11.8,"9,840",8.5,"3,401",3.3
LS WINE,"1,918",1.7,787,0.7,"1,131",1.0
LS TOTAL Landshark BEVERAGE,"46,663",41.4,"39,359",34.0,"7,304",7.4
LS ALLOWANCES,-162,-0.1,0,0.0,-162,-0.1
LS OTHER,458,0.4,"2,314",2.0,"-1,857",-1.6
LS TOTAL Landshark OTHER,296,0.3,"2,314",2.0,"-2,018",-1.7
LS TOTAL Landshark REVENUE,"112,580",100.0,"115,762",100.0,"-3,182",0.0
LS FOOD,-186,-0.3,"21,115",28.5,"-21,301",-28.8
LS LIQUOR,-20,-0.1,"4,310",15.0,"-4,329",-15.1
LS BEER,0,0.0,"1,771",18.0,"-1,771",-18.0
LS WINE,0,0.0,169,21.5,-169,-21.5
LS OTHER,0,0.0,"1,157",1.0,"-1,157",-1.0
LS TOTAL VENUE 2 COST OF SALES,-205,-0.2,"28,523",24.6,"-28,728",-24.8
LS TOTAL VENUE 2 GROSS PROFIT,"112,785",100.2,"87,239",75.4,"25,546",24.8
LS MANAGER,0,0.0,"4,964",4.3,"-4,964",-4.3
LS ASSISTANT MANAGER,"-1,360",-1.2,"6,610",5.7,"-7,970",-6.9
LS TOTAL VENUE 2 SERVICE MANAGEMENT,"-1,360",-1.2,"11,574",10.0,"-12,934",-11.2
LS TOTAL VENUE 2 MANAGEMENT,"-1,360",-1.2,"11,574",10.0,"-12,934",-11.2
LS SOUS CHEF,0,0.0,"3,572",3.1,"-3,572",-3.1
LS COOKS,"-6,294",-5.6,"11,484",9.9,"-17,778",-15.5
LS STEWARDS,"-1,844",-1.6,"5,037",4.4,"-6,880",-6.0
LS KITCHEN SUPERVISOR,0,0.0,"4,760",4.1,"-4,760",-4.1
LS TOTAL VENUE 2 KITCHEN NON-MANAGEMENT,"-8,138",-7.2,"24,852",21.5,"-32,990",-28.7
LS SERVERS,"-1,175",-1.0,"3,473",3.0,"-4,648",-4.0
LS BUSSERS,"-1,005",-0.9,"2,952",2.6,"-3,957",-3.4
LS RUNNERS,0,0.0,"2,952",2.6,"-2,952",-2.6
LS BARTENDERS,"-1,404",-1.2,"4,202",3.6,"-5,606",-4.9
LS BARBACKS,-231,-0.2,"2,952",2.6,"-3,183",-2.8
LS HOSTS,"-1,228",-1.1,"6,112",5.3,"-7,341",-6.4
LS SUPERVISOR,-614,-0.5,"5,157",4.5,"-5,771",-5.0
LS TOTAL VENUE 2 VENUE NON-MANAGEMENT,"-5,657",-5.0,"27,800",24.0,"-33,457",-29.0
LS TOTAL VENUE 2 NON-MANAGEMENT,"-13,794",0.0,"52,652",0.0,"-66,447",0.0
LS SUBTOTAL: VENUE 2 VENUE SALARIES & WAGES,"-15,154",-13.5,"64,227",55.5,"-79,381",-68.9
LS CONTRACTED/LEASED & OUTSOURCED LABOR,0,0.0,"4,223",3.6,"-4,223",-3.6
LS TOTAL VENUE 2 CONTRACT LABOR,0,0.0,"4,223",3.6,"-4,223",-3.6
"LS TOTAL VENUE 2 SALARIES, WAGES, SC, CONTRACT & BONUS","-15,154",-13.5,"68,450",59.1,"-83,604",-72.6
LS PAYROLL TAXES,0,0.0,"5,134",4.4,"-5,134",-4.4
LS TOTAL VENUE 2 TAXES,0,0.0,"5,134",4.4,"-5,134",-4.4
LS SUPPLEMENTAL PAY,0,0.0,0,0.0,0,0.0
LS PTO PAY,"-7,224",-6.4,"1,314",1.1,"-8,538",-7.6
LS TOTAL VENUE 2 SUPPLEMENTAL PAY,"-7,224",-6.4,"1,314",1.1,"-8,538",-7.6
LS WORKERS COMP,"1,516",1.3,"1,472",1.3,44,0.1
LS HEALTH INSURANCE,-92,-0.1,"5,086",4.4,"-5,178",-4.5
LS 401K,0,0.0,205,0.2,-205,-0.2
LS EMPLOYEE MEALS,0,0.0,"1,390",1.2,"-1,390",-1.2
LS EMPLOYEE BENEFITS,0,0.0,30,0.0,-30,0.0
LS TOTAL VENUE 2 BENEFITS,"1,424",1.3,"8,183",7.1,"-6,759",-5.8
LS TOTAL VENUE 2 PAYROLL RELATED,"-5,800",-5.2,"14,631",12.6,"-20,431",-17.8
LS TOTAL VENUE 2 LABOR & RELATED,"-20,954",-18.6,"83,081",71.8,"-104,035",-90.4
LS DUES & SUBSCRIPTIONS,-287,-0.3,0,0.0,-287,-0.3
LS MUSIC/ENTERTAINMENT,"2,250",2.0,"3,500",3.0,"-1,250",-1.0
LS TOTAL Landshark OTHER EXPENSES,"1,963",1.7,"3,500",3.0,"-1,537",-1.3
LS TOTALLandshark EXPENSE,"-19,197",-17.1,"115,103",99.4,"-134,300",-116.5
LS TOTAL Landshark PROFIT,"131,777",117.1,659,0.6,"131,118",116.5
JM BREAKFAST,"18,370",43.3,"19,721",37.3,"-1,352",6.0
JM LUNCH,"11,632",27.4,"17,045",32.2,"-5,413",-4.8
JM DINNER,"6,991",16.5,"10,111",19.1,"-3,120",-2.6
JM TOTALJoe Merchant  FOOD,"36,993",87.1,"46,877",88.6,"-9,885",-1.5
JM BEER,"1,253",3.0,"1,765",3.3,-512,-0.4
JM WINE,"2,948",6.9,"1,198",2.3,"1,750",4.7
JM TOTAL Joe Merchant  BEVERAGE,"4,201",9.9,"2,963",5.6,"1,238",4.3
JM ALLOWANCES,-224,-0.5,0,0.0,-224,-0.5
JM OTHER,"1,497",3.5,"3,070",5.8,"-1,574",-2.3
JM TOTAL Joe Merchant OTHER,"1,273",3.0,"3,070",5.8,"-1,798",-2.8
JM TOTAL Joe Merchant REVENUE,"42,466",100.0,"52,911",100.0,"-10,445",0.0
JM FOOD,0,0.0,"14,063",30.0,"-14,063",-30.0
JM BEER,0,0.0,441,25.0,-441,-25.0
JM OTHER,0,0.0,"1,382",2.6,"-1,382",-2.6
JM TOTAL VENUE 3 COST OF SALES,0,0.0,"15,886",30.0,"-15,886",-30.0
JM TOTAL VENUE 3 GROSS PROFIT,"42,466",100.0,"37,025",70.0,"5,442",30.0
JM MANAGER,"-1,571",-3.7,0,0.0,"-1,571",-3.7
JM TOTAL VENUE 3 SERVICE MANAGEMENT,"-1,571",-3.7,0,0.0,"-1,571",-3.7
JM TOTAL VENUE 3 MANAGEMENT,"-1,571",-3.7,0,0.0,"-1,571",-3.7
JM COOKS,"-2,011",-4.7,"10,899",20.6,"-12,910",-25.3
JM STEWARDS,0,0.0,0,0.0,0,0.0
JM TOTAL VENUE 3 KITCHEN NON-MANAGEMENT,"-2,011",-4.7,"10,899",20.6,"-12,910",-25.3
JM CASHIERS,"-4,980",-11.7,"9,961",18.8,"-14,941",-30.6
JM SUPERVISOR,"-1,078",-2.5,"2,432",4.6,"-3,510",-7.1
JM TOTAL VENUE 3 SERVICE NON-MANAGEMENT,"-6,058",-14.3,"12,393",23.4,"-18,451",-37.7
JM TOTAL VENUE 3 NON-MANAGEMENT,"-8,068",-19.0,"23,292",44.0,"-31,361",-63.0
JM SUBTOTAL: VENUE 3 SALARIES & WAGES,"-9,640",-22.7,"23,292",44.0,"-32,932",-66.7
JM CONTRACTED/LEASED & OUTSOURCED LABOR,0,0.0,"2,011",3.8,"-2,011",-3.8
JM TOTAL VENUE 3 CONTRACT LABOR,0,0.0,"2,011",3.8,"-2,011",-3.8
"JM TOTAL VENUE 3 SALARIES, WAGES, SC, CONTRACT & BONUS","-9,640",-22.7,"25,304",47.8,"-34,943",-70.5
JM PAYROLL TAXES,0,0.0,"1,898",3.6,"-1,898",-3.6
JM TOTAL VENUE 3 TAXES,0,0.0,"1,898",3.6,"-1,898",-3.6
